class,mult,type,subtype,density,ilp2
C,15,1,1,0.1,2524
C,15,1,1,0.7,563
C,15,1,1,0.8,423
C,15,1,1,0.9,325
C,15,1,1,0.4,947
C,15,1,1,0.2,1601
C,15,1,1,0.6,623
C,15,1,1,0.3,1211
C,15,1,1,0.5,744
C,15,4,1,0.1,5030
C,15,4,1,0.2,2563
C,15,5,1,0.1,8307
C,15,5,1,0.2,5574
C,15,4,1,0.3,1798
C,15,5,1,0.3,4357
C,15,5,1,0.4,3675
C,15,5,1,0.5,2828
C,15,5,1,0.7,2226
C,15,5,1,0.6,2257
C,15,5,1,0.9,1267
C,15,5,1,0.8,1760
C,15,4,1,0.5,1072
C,15,4,1,0.6,859
C,15,4,1,0.7,773
C,15,4,1,0.4,1266
C,15,4,1,0.8,607
C,15,4,1,0.9,408
C,15,8,1,0.2,11512
C,15,8,1,0.1,15510
C,1,1,1,0.1,210
C,1,1,1,0.2,210
C,1,1,1,0.3,200
C,1,1,1,0.4,200
C,1,1,1,0.5,200
C,1,1,1,0.6,199
C,1,1,1,0.7,200
C,1,1,1,0.8,186
C,1,1,1,0.9,180
C,15,8,1,0.3,8064
C,15,8,1,0.4,6133
C,1,4,1,0.1,220
C,15,8,1,0.5,4700
C,15,8,1,0.6,3780
C,1,4,1,0.2,220
C,15,8,1,0.7,3365
C,1,4,1,0.3,220
C,1,4,1,0.6,220
C,1,4,1,0.5,220
C,1,5,1,0.1,1030
C,1,5,1,0.2,1030
C,1,5,1,0.3,1030
C,1,5,1,0.4,1030
C,1,5,1,0.5,1030
C,1,5,1,0.6,1030
C,1,5,1,0.7,1030
C,1,5,1,0.8,1030
C,1,5,1,0.9,1003
C,1,8,1,0.1,1040
C,1,8,1,0.2,1040
C,1,4,1,0.4,220
C,1,8,1,0.3,1040
C,1,8,1,0.4,1040
C,1,8,1,0.5,1040
C,1,8,1,0.7,1040
C,1,8,1,0.8,1040
R,15,1,1,0.1,1949
R,15,1,1,0.2,1259
R,15,1,1,0.3,1066
R,15,1,1,0.4,871
C,1,4,1,0.7,210
R,15,1,1,0.5,608
R,15,1,1,0.6,536
R,15,1,1,0.7,517
C,1,8,1,0.9,1030
R,15,1,1,0.9,273
R,15,1,1,0.8,323
C,1,8,1,0.6,1030
C,1,4,1,0.8,200
C,15,8,1,0.9,2064
C,1,4,1,0.9,190
C,15,8,1,0.8,2664
R,15,4,1,0.1,3858
R,15,4,1,0.2,2252
R,15,5,1,0.1,1402
R,15,4,1,0.3,1429
R,15,5,1,0.2,881
R,15,5,1,0.3,707
R,15,5,1,0.4,596
R,15,5,1,0.5,550
R,15,5,1,0.6,407
R,15,5,1,0.7,370
R,15,5,1,0.9,211
R,15,5,1,0.8,269
R,15,4,1,0.4,1134
R,15,4,1,0.5,967
R,15,4,1,0.6,729
R,15,4,1,0.7,566
R,15,4,1,0.8,522
R,15,8,1,0.1,3624
R,15,8,1,0.2,1945
R,15,8,1,0.3,1375
R,1,1,1,0.1,402
R,1,1,1,0.2,456
R,1,1,1,0.3,361
R,1,1,1,0.4,424
R,1,1,1,0.5,422
R,1,1,1,0.6,347
R,1,1,1,0.7,373
R,1,1,1,0.8,280
R,1,1,1,0.9,266
R,1,4,1,0.1,657
R,1,4,1,0.2,602
R,1,4,1,0.3,614
R,1,4,1,0.4,571
R,1,4,1,0.5,561
R,1,4,1,0.6,527
R,15,4,1,0.9,401
R,15,8,1,0.4,1168
R,1,4,1,0.7,475
R,1,5,1,0.1,294
R,1,5,1,0.2,293
R,1,5,1,0.3,287
R,1,5,1,0.4,286
R,1,5,1,0.5,292
R,1,5,1,0.6,277
R,1,5,1,0.7,282
R,1,5,1,0.8,263
R,1,5,1,0.9,195
R,1,8,1,0.1,323
R,1,8,1,0.2,307
R,1,8,1,0.3,339
R,1,8,1,0.4,313
R,1,8,1,0.5,300
R,1,4,1,0.8,429
R,1,8,1,0.6,299.9999999999999
R,1,8,1,0.7,300
R,15,8,1,0.5,944
R,1,8,1,0.8,295
R,1,8,1,0.9,292
R,1,4,1,0.9,358
R,15,8,1,0.9,419
R,15,8,1,0.6,733
R,15,8,1,0.8,472
R,15,8,1,0.7,615
