class,mult,type,density,ilp2,lp2,ub_l2,ub_l2g
C,15,1,0.1,2524,7525.048743882243,4178,4174
C,15,1,0.7,563,4849.907960372206,1490,1538
C,15,1,0.8,423,4590.712979834356,1213,1236
C,15,1,0.9,325,4342.813135817731,841,856
C,15,1,0.4,947,5900.768496682384,2539,2556
C,15,1,0.2,1601,6887.3366398015605,3400,3470
C,15,1,0.6,623,5167.939477609613,1888,2010
C,15,1,0.3,1211,6352.994177113385,2976,3075
C,15,1,0.5,744,5508.84720579898,2414,2230
C,15,4,0.1,NA,19083.06216950256,17860,17880
C,15,4,0.2,NA,19030.124378334353,17420,17470
C,15,5,0.1,8307,15478.813516667502,11858,11724
C,15,5,0.2,5574,15467.724173775998,9243,9663
C,15,4,0.3,NA,18976.673831323,16980,16960
C,15,5,0.3,4357,15454.08407336899,8478,8251
C,15,5,0.4,3675,14709.854802626096,6737,7269
C,15,5,0.5,2828,13676.019951026225,6203,6309
C,15,5,0.7,2226,12091.894503726347,4420,4754
C,15,5,0.6,2257,12819.492129219609,5147,5459
C,15,5,0.9,1267,10760.656367618709,2375,2648
C,15,5,0.8,1760,11359.218441899337,3626,3533
C,15,4,0.4,NA,18920.07656532998,14908,14707
C,15,4,0.5,NA,18863.76043827277,11930,12088
C,15,4,0.6,NA,18808.621294473654,9488,9569
C,15,4,0.7,NA,18751.384821259468,7751,7760
C,15,4,0.8,NA,18694.238825930726,5389,5425
C,15,4,0.9,NA,18637.824251430306,3405,3331
C,15,8,0.1,NA,15595.415065113046,15580,15580
C,15,8,0.2,NA,15595.369120071706,15580,15580
C,1,1,0.1,210,213.84490061909415,210,210
C,1,1,0.2,210,213.78536144447403,210,210
C,1,1,0.3,200,213.70391479493213,210,210
C,1,1,0.4,200,213.7480323153308,200,210
C,1,1,0.5,200,213.6779779894995,200,200
C,1,1,0.6,199,213.68931310766664,200,200
C,1,1,0.7,200,213.67204597139897,200,200
C,1,1,0.8,186,213.5875039511018,200,200
C,15,8,0.3,NA,15595.299766160324,15570,15570
C,1,1,0.9,180,213.56679636835284,190,200
C,15,8,0.4,NA,15595.244883726453,15550,15550
C,15,8,0.5,NA,15595.162383171944,15530,15540
C,1,4,0.1,220,225,220,220
C,15,8,0.6,NA,15595.08685976589,15500,15500
C,1,4,0.2,220,224.99999999999997,220,220
C,15,8,0.7,NA,15595.005263094448,15430,15460
C,1,4,0.3,220,225,220,220
C,1,4,0.6,220,225,220,220
C,1,5,0.1,1030,1039.7222222222222,1030,1030
C,1,5,0.2,1030,1039.7222222222222,1030,1030
C,1,4,0.5,220,225,220,220
C,1,5,0.3,1030,1039.7152274244572,1030,1030
C,1,5,0.4,1030,1039.7177877977822,1030,1030
C,1,5,0.5,1030,1039.7158470764598,1030,1030
C,1,5,0.6,1030,1039.717707970676,1030,1030
C,1,5,0.8,1030,1039.7123609252897,1030,1030
C,1,5,0.7,1030,1039.7119087670533,1030,1030
C,1,5,0.9,1003,1039.7067219173682,1030,1030
C,1,8,0.1,1040,1040,1040,1040
C,1,8,0.2,1040,1040,1040,1040
C,1,4,0.4,220,225,220,220
C,1,8,0.3,1040,1040,1040,1040
C,1,8,0.4,1040,1040,1040,1040
C,1,8,0.5,1040,1040,1040,1040
C,1,8,0.7,1040,1040.0000000000002,1040,1040
C,1,8,0.8,1040,1040,1040,1040
R,15,1,0.1,1949,5094.597955250865,2993,3022
R,15,1,0.2,1259,5053.355661396745,2595,2750
R,15,1,0.3,1066,4502.019578108489,2301,2316
R,15,1,0.4,871,4493.847292173329,1886,1978
C,1,4,0.7,210,225,220,220
R,15,1,0.5,608,3987.803692363155,1559,1657
R,15,1,0.7,517,3980.304344520732,1192,1244
R,15,1,0.6,536,4036.453904364755,1335,1414
C,1,8,0.9,1030,1040,1030,1040
R,15,1,0.9,273,3551.745226951528,576,646
R,15,1,0.8,323,3313.2814955551303,804,902
C,1,8,0.6,1030,1040.0000000000002,1040,1040
C,15,8,0.8,NA,15594.92380648428,14765,15340
C,15,8,0.9,NA,15594.83220135903,9354,9710
C,1,4,0.8,NA,225,220,220
C,1,4,0.9,NA,224.99999999999997,210,210
R,15,4,0.1,NA,25204.31617380972,17924,17899
R,15,4,0.2,NA,24998.686413484917,15255,15058
R,15,5,0.1,1402,2585.3669314454496,1690,1743
R,15,4,0.3,NA,24389.83349072048,12856,12888
R,15,5,0.2,881,2239.255749780164,1319,1338
R,15,5,0.3,707,2241.548304779367,1162,1248
R,15,5,0.4,596,2260.725469297442,1062,1135
R,15,5,0.5,550,2094.2292400520914,921,996
R,15,5,0.6,407,1854.1014650663028,806,882
R,15,5,0.7,370,2012.6820987833191,688,810
R,15,5,0.8,269,1813.5821217793064,515,598
R,15,5,0.9,211,1704.5166838516789,342,419
R,15,4,0.4,NA,24659.853013376756,10310,10653
R,15,4,0.5,NA,23844.402893222097,8806,8851
R,15,4,0.6,NA,23590.52957723871,6722,6742
R,15,4,0.7,NA,24733.00290929032,5566,5589
R,15,4,0.8,NA,23795.0508497456,3825,3994
R,15,4,0.9,NA,22763.528322935017,2266,2357
R,15,8,0.1,NA,5020.950542736154,4539,4576
R,15,8,0.2,NA,4914.48469689361,4217,4263
R,1,1,0.1,402,413.79884164430007,402,402
R,1,1,0.2,456,475.4342385208397,456,458
R,1,1,0.3,361,427.3359492945843,373,393
R,1,1,0.4,424,462.6937652972604,436,439
R,1,1,0.5,422,501.16033423114453,447,452
R,1,1,0.6,347,470.7354040096828,392,423
R,1,1,0.7,373,463.47836332427687,396,440
R,1,1,0.8,280,451.3901730562876,346,361
R,1,1,0.9,266,475.0788863882225,338,395
R,1,4,0.1,657,672.416382413283,657,659
R,1,4,0.2,602,635.1838188621525,603,611
R,15,8,0.3,NA,5148.733318338711,4129,4134
R,1,4,0.3,614,656.3575565127819,636,649
R,15,8,0.4,NA,5054.441843498558,3830,3896
R,1,4,0.4,571,650.2418640344458,614,628
R,1,4,0.5,561,632.9842446848727,586,604
R,15,8,0.5,NA,5084.045956893487,3670,3678
R,1,4,0.6,527,652.1565806395868,575,596
R,1,5,0.1,294,361.660696517413,294,294
R,1,5,0.2,293,347.5353159851301,293,293
R,1,5,0.3,287,351.1033245635015,291,291
R,1,5,0.4,286,351.2090022866506,290,297
R,1,5,0.5,292,359.2565515802257,292,295
R,1,5,0.6,277,364.6958366639894,282,288
R,1,5,0.7,282,365.3407587377366,295,299
R,1,5,0.8,263,338.18318450213445,291,294
R,1,5,0.9,195,344.80269781595206,266,286
R,1,8,0.1,323,391.25779283219913,331,331
R,1,8,0.2,307,377.6176743114081,320,320
R,15,8,0.6,NA,5040.572328659768,3346,3404
R,1,8,0.3,339,383.72687758701784,348,348
R,15,8,0.7,NA,4891.9770371587965,2816,2898
R,1,8,0.4,313,390.19187762906313,358,358
R,1,8,0.5,300,387.9794931389157,340,340
R,1,8,0.6,299.9999999999999,389.6432101713127,300,300
R,1,8,0.7,300,390.2129245940196,347,347
R,1,8,0.8,295,390.1197652410415,304,322
R,15,8,0.8,NA,5034.35442238657,2287,2323
R,1,8,0.9,292,386.60451802568474,297,298
R,15,8,0.9,NA,4794.927719901396,1408,1421
R,1,4,0.7,475,689.5535321731543,569,584
R,1,4,0.8,429,665.0268563338183,587,587
R,1,4,0.9,NA,662.8497541608795,536,561
